,filename,Invoice_no,Invoice_date,Vendor_name,Product_model,Qty,Unit_price,Item_total,Invoice_total,Currency,Confidence,low_conf_fields
456,SHXX-D210901.pdf,SHXX-D210901,30/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K660X-WH3
BD505JS",10,221.93,2219.3,21494.02,$,0.859,Product Model
457,SHXX-D210901.pdf,SHXX-D210901,30/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K320XL-WH2
BD232GA",20,116.98,2339.6,21494.02,$,0.8965,
458,SHXX-D210901.pdf,SHXX-D210901,30/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580X-WH2
BD445JA",8,194.97,1559.76,21494.02,$,0.865625,
459,SHXX-D210901.pdf,SHXX-D210901,30/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",,1,7620,,21494.02,$,,
460,SHXX-K220115.pdf,SHXX-K220115,24/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SJ-K75X-SL3,296,54.21,16046.16,27567.06,$,0.918,
461,SHXX-K220115.pdf,SHXX-K220115,24/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SJ-K135X-SL3
BC90",170,67.77,11520.9,27567.06,$,0.915625,
462,SHXX-N220126.pdf,SHXX-N220126,01/02/22,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.","SCF-K190XL-WH2
BD142GA",1849,96.34,178132.66,292895.18,$,0.90675,
463,SHXX-N220126.pdf,SHXX-N220126,01/02/22,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.","SCF-K250XL-WH2
BD192GA",680,110.1,74868,292895.18,$,0.909125,
464,SHXX-N220126.pdf,SHXX-N220126,01/02/22,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.","SCF-K320XL-WH2
BD232GA",150,116.98,17547,292895.18,$,0.93925,
465,SHXX-N220126.pdf,SHXX-N220126,01/02/22,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.","SCF-K400XL-WH2
BD282GA",69,132.47,9140.43,292895.18,$,0.939125,
466,SHXX-N220126.pdf,SHXX-N220126,01/02/22,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.","SCF-K580XL-WH2
BD445GA",50,206.44,10322,292895.18,$,0.907625,
467,SHXX-N220126.pdf,SHXX-N220126,01/02/22,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.","SCF-K660X-WH3
BD505JS",13,221.93,2885.09,292895.18,$,0.90875,
468,SHXX-O220216.pdf,SHXX-O220216,01/03/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400X-WH3
BD282JA",106,126.73,13433.38,26106.43,$,0.9015,
469,SHXX-O220216.pdf,SHXX-O220216,01/03/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580X-WH3
BD-445JA",65,194.97,12673.05,26106.43,$,0.926625,
470,SHXX-K211111.pdf,SHXX-K211111,22/11/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SJ-K135X-SL3
BC90",14,67.77,948.78,6623.02,$,0.874625,
471,SHXX-K211111.pdf,SHXX-K211111,22/11/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K130X-WH3
BD95JA",37,81.43,3012.91,6623.02,$,0.913875,
472,SHXX-K211111.pdf,SHXX-K211111,22/11/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400X-WH3
BD282JA",21,126.73,2661.33,6623.02,$,0.916375,
473,SHXX-J220223.pdf,SHXX-J220223,24/02/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SJ-K75X-WH3
BC47",296,54.21,16046.16,23066.29,$,0.925875,
474,SHXX-J220223.pdf,SHXX-J220223,24/02/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K190X-WH3
BD142JA",18,92.9,1672.2,23066.29,$,0.92125,
475,SHXX-J220223.pdf,SHXX-J220223,24/02/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K250X-WH3
BD192JA",18,105.51,1899.18,23066.29,$,0.909125,
476,SHXX-J220223.pdf,SHXX-J220223,24/02/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K320X-WH3
BD232JA",31,111.25,3448.75,23066.29,$,0.921125,
477,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SJ-K155X-SL2,251,79.06,19844.06,87814.72,$,0.911625,
478,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K190X-WH2,100,92.9,9290,87814.72,$,0.914125,
479,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K250X-WH2,100,105.51,10551,87814.72,$,0.943875,
480,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K320X-WH2,70,111.25,7787.5,87814.72,$,0.855875,Product Model
481,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K400X-WH2,40,126.73,5069.2,87814.72,$,0.857375,Product Model
482,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K400X-WH3,30,126.73,3801.9,87814.72,$,0.865875,Product Model
483,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K490X-WH2,75,160.57,12042.75,87814.72,$,0.915125,
484,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K490X-WH3,19,160.57,3050.83,87814.72,$,0.943875,
485,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K580X-WH2,60,194.97,11698.2,87814.72,$,0.9165,
486,SHXX-S210814.pdf,SHXX-S210814,26/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K580X-WH3,24,194.97,4679.28,87814.72,$,0.9435,
487,SHXX-C210826.pdf,SHXX-C210826,24/08/21,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.",SCF-K190XL-WH2,25,96.34,2408.5,21788.57,$,0.8785,
488,SHXX-C210826.pdf,SHXX-C210826,24/08/21,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.",SCF-K250XL-WH2,24,110.1,2642.4,21788.57,$,0.895375,
489,SHXX-C210826.pdf,SHXX-C210826,24/08/21,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.",SCF-K320XL-WH2,26,116.98,3041.48,21788.57,$,0.8955,
490,SHXX-C210826.pdf,SHXX-C210826,24/08/21,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.",SCF-K400XL-WH2,24,132.47,3179.28,21788.57,$,0.895875,
491,SHXX-C210826.pdf,SHXX-C210826,24/08/21,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.",SCF-K490XL-WH2,19,170.89,3246.91,21788.57,$,0.89575,
492,SHXX-C210826.pdf,SHXX-C210826,24/08/21,"ZHEJIANG XINGKING REFRIGERATION CO., LTD.",OCEAN FREIGHT,1,7270,7270,21788.57,$,0.88875,
493,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K250XJ-WH2,4,105.51,422.04,31702.23,$,0.93225,
494,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K320XJ-WH2,45,111.25,5006.25,31702.23,$,0.93375,
495,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K400XJ-WH2,25,126.73,3168.25,31702.23,$,0.839375,Product Model
496,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K490XJ-WH2,15,160.57,2408.55,31702.23,$,0.934875,
497,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K580XJ-WH2,11,194.97,2144.67,31702.23,$,0.839375,Product Model
498,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SJ-K135XJ-SL2,65,67.77,4405.05,31702.23,$,0.933875,
499,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SJ-K155XJ-SL2,24,79.06,1897.44,31702.23,$,0.9345,
500,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K130XJ-WH2,75,81.43,6107.25,31702.23,$,0.933375,
501,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K190XJ-WH2,40,92.9,3716,31702.23,$,0.934,
502,SHXX-V210831.pdf,SHXX-V210831,01/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K250XJ-WH2,23,105.51,2426.73,31702.23,$,0.93475,
503,SHXX-K211129.pdf,SHXX-K211129,03/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",BC47,220,54.21,11926.2,11926.2,$,0.92575,
504,SHXX-J211201.pdf,SHXX-J211201,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K320XL-WH2
BD232GA",31,116.98,3626.38,53555,$,0.8745,
505,SHXX-J211201.pdf,SHXX-J211201,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400X-WH3
BD282JA",103,126.73,13053.19,53555,$,0.90675,
